Day0_ESC	Day0_iYAP	Day0_iGATA6	EPI	Ectoderm_Ect	Surfaceectoderm_SE	Amnion	PGC	Meso	ExtraembryonicMeso	Definitive endoderm1 (CS7)	Definitive endoderm2 (CS7)	Visceralendoderm_VE	Parietalendoderm_ParE	Cytotrophobalst_CT	Syncytiotrophoblast_ST	Extravillous cytotrophoblast_EVT	Booldprogenitor_BP	Erythrocyte_Ery	Endothelialcell_EC
POU5F1	GATA3	SOX17	POU5F1	SOX2	TFAP2A	ISL1	SOX17	MESP1	VIM	SOX17	SHISA2	SOX17	TTR	GATA3	GATA3	GATA3	PPBP	HBZ	CDH5
SOX2	GATA2	GATA6	SOX2	SOX3	CDH1	CDX2	NANOS3	MESP2	LUM	FOXA2	OTX2	PRRC2C	APOA2	GATA2	GATA2	GATA2	LYL1	HBM	PECAM
NANOG	TFAP2A	GATA4	NANOG	POU5F1	DLX5	TFAP2A	PDPN	TBXT	POSTN	TDGF1	SPOCK3	SERPINC1	LRP2	TFAP2A	TFAP2A	TFAP2A	SPN	RGS10	KDR
FAT3	CDX2	FOXA2	TDGF1	DNMT3B	GATA3	GABRP	PRDM1	MIXL1	DCN	GATA6	SIX3	TMCO1	APOA4	KRT7	KRT7	KRT7	PTPRC	CCND3	PLVAP
THY1			DNMT3B	PTPRZ1	EPCAM	GATA3	PRDM14	LIX1	GATA4	GATA3	DKK1	SP8	SPARC	ITGA6	SDC1	ITGA5	MPO	TYROBP	RAMP2
STC1			PMAIP1	CDH2	POU5F1	TFAP2C	TFAP2C	RGS5	GAAT6	EPCAM	HHEX	PTTG1	PLAT	TP63	CSH1	ITGA1	CD34		VAMP5
KLHL4			TDGF1		SOX2		NANOG	RGS4	BST2	CENPU	MXRA8	HAS2	PDGFRA	CTNNB1	CGB	HLA-G			LMO2
ZDHHC22			SCG3		NANOG		POU5F1	CENPV	FOXF1	TK1	CRABP2	PDGFRA	GATA3	LRP5	CGA	FN1			GNG11
NEFM			FOXD3-AS1					MSX2	SNAI2	HMGN2	BIK	BMP2	PDGFRA	TEAD4	PSG1	MMP2			EGFL7
HMX2			HPAT5					FRZB	HGF	PCLAF	GPC4	HNF4A		ELF5	CSH1	CD9			KDR
PLA2G3			L1TD1					ANXA1		TMSB15A	LMO3	PEG3		FGFR2	HSD3B1				S100A16
PTPRZ1			GPRC5B					POSTN		HMGB1	FZD5	LHX1		FZD5	CYP19A1				TFPI
CYTL1			MT1H					RGS16		DLGAP5	UCHL1	STAT6			INHA				HAPLN1
SOX11			PTPRZ1					DCN		CENPN	MLF1	FOXA2							ANXA2
										NDC80	PIFO	ZFP326							EFNA1
										CDK1	RHBDD2	HNF1B							ECSCR
										NUSAP1	TFF3								PLK2
										UBE2C	SFRP1								PHLDA1
										NEK2	ODF2L								S100A10
